,ACC,trial_id,Learning Method,Training Size,partition_random_state,currerent_fold,data_percentage
118,84.63309478759766,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
119,85.76798248291016,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
120,85.11676788330078,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
121,84.64765930175781,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
122,85.67474365234375,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
123,85.83208465576172,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
124,86.01856231689453,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
125,84.4568099975586,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
126,84.81665802001953,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
127,84.95214080810547,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
128,84.98127746582031,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
129,85.60189819335938,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
130,85.55819702148438,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
131,84.97691345214844,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
132,85.51011657714844,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
133,85.04683685302734,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
134,85.33966827392578,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
135,85.10802459716797,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
136,85.3250961303711,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
137,85.32655334472656,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
138,84.40873718261719,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
139,84.9739990234375,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
140,85.5261459350586,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
141,83.52151489257812,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
142,84.18729400634766,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
143,83.82891082763672,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
144,83.51860046386719,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
145,84.13047790527344,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
